ProductCode,Name,FaName,BrandName,BrandId,CategoryName,CategoryId
gsp-16023,Magnetic Silicon Back Stitched Apple Watch 42/44/45/49 mm Leather band,بند اپل واچ 42/44/45/49 میلی متری چرمی دور دوخت پشت سیلیکون مگنتی,متفرقه,327,بند اپل واچ,214
gsp-15856,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 489,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 489,متفرقه,327,قاب پشت گوشی,113
gsp-15831,Xiaomi Poco X3 / Poco X3 Pro / Poco X3 NFC Seven Color Hologram Frame - Design 123,قاب هولوگرامی هفت رنگ برای گوشی شیائومی Poco X3 / Poco X3 Pro / Poco X3 NFC - طرح 123,متفرقه,327,قاب پشت گوشی,113
gsp-15830,Xiaomi Poco X3 / Poco X3 Pro / Poco X3 NFC Seven Color Hologram Frame - Design 124,قاب هولوگرامی هفت رنگ برای گوشی شیائومی Poco X3 / Poco X3 Pro / Poco X3 NFC - طرح 124,متفرقه,327,قاب پشت گوشی,113
gsp-15849,Apple iPhone X Max / XS Max Pop-socket Patterned Needle Frame - Design 405,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل Apple iPhone X Max / XS Max - طرح 405,متفرقه,327,قاب پشت گوشی,113
gsp-15845,Apple iPhone X Max / XS Max Pop-socket Patterned Needle Frame - Design 426,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل Apple iPhone X Max / XS Max - طرح 426,متفرقه,327,قاب پشت گوشی,113
gsp-15841,Xiaomi Redmi Note 8 Pro Pop-socket Patterned Needle Frame - Design 499,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی شیائومی Redmi Note 8 Pro - طرح 499,متفرقه,327,قاب پشت گوشی,113
gsp-15842,Xiaomi Redmi Note 11 Pro Plus Pop-socket Patterned Needle Frame - Design 399,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی شیائومی Redmi Note 11 Pro Plus - طرح 399,متفرقه,327,قاب پشت گوشی,113
gsp-15853,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 492,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 492,متفرقه,327,قاب پشت گوشی,113
gsp-15854,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 491,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 491,متفرقه,327,قاب پشت گوشی,113
gsp-15851,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 496,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 496,متفرقه,327,قاب پشت گوشی,113
gsp-15855,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 490,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 490,متفرقه,327,قاب پشت گوشی,113
gsp-15852,Apple iPhone 11 Pro Max Pop-socket Patterned Needle Frame - Design 495,قاب سوزنی طرح دار پاپ سوکت دار برای گوشی اپل iPhone 11 Pro Max - طرح 495,متفرقه,327,قاب پشت گوشی,113
gsp-15880,Mietubl Full Cover Anti Static Protector For Samsung A14 / M14 / F14 / A22 5G,گلس گوشی سامسونگ A14 / M14 / F14 / A22 5G میتوبل مدل Full Cover Anti Static,متفرقه,327,محافظ تمام صفحه گوشی,117
gsp-15873,Mietubl Full Cover Anti Static Protector for Xiaomi Mi 9T / 9T Pro / Redmi K20 / K20 Pro / Samsung Galaxy S21 FE,گلس گوشی شیائومی و سامسونگ Mi 9T / 9T Pro / Redmi K20 / K20 Pro / Galaxy S21 FE میتوبل Full Cover Anti Static,متفرقه,327,محافظ تمام صفحه گوشی,117
gsp-15883,Mietubl Full Cover Anti Static Protector For Samsung A54 / S23 FE,گلس گوشی سامسونگ A54 / S23 FE میتوبل مدل Full Cover Anti Static,متفرقه,327,محافظ تمام صفحه گوشی,117
gsp-15884,Mietubl Full Cover Anti Static Protector For Samsung Galaxy A34,گلس گوشی سامسونگ گلکسی A34 میتوبل مدل Full Cover Anti Static,متفرقه,327,محافظ تمام صفحه گوشی,117
gsp-15931,Spigen Cover for iPhone 15 Pro Max - Purple,قاب گوشی اپل iPhone 15 Pro Max اسپیگن با توری اسپیکر فلزی - بنفش,متفرقه,327,قاب پشت گوشی,113
gsp-15915,Spigen Cover for iPhone 15 Pro Max - Navy Blue,قاب گوشی اپل iPhone 15 Pro Max اسپیگن با توری اسپیکر فلزی - سرمه ای,متفرقه,327,قاب پشت گوشی,113
gsp-15958,Spigen Cover for iPhone 14 Pro Max - Purple,قاب گوشی اپل iPhone 14 Pro Max اسپیگن با توری اسپیکر فلزی - بنفش,متفرقه,327,قاب پشت گوشی,113
gsp-15957,Spigen Cover for iPhone 14 Pro Max - Navy Blue,قاب گوشی اپل iPhone 14 Pro Max اسپیگن با توری اسپیکر فلزی - سرمه ای,متفرقه,327,قاب پشت گوشی,113
gsp-15956,Spigen Cover for iPhone 14 Pro Max - Clear Black,قاب گوشی اپل iPhone 14 Pro Max اسپیگن با توری اسپیکر فلزی - شفاف مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15963,Spigen Cover for iPhone 12 Pro / 12 - Gray,قاب گوشی اپل iPhone 12 Pro / 12 اسپیگن با توری اسپیکر فلزی - طوسی,متفرقه,327,قاب پشت گوشی,113
gsp-15962,Spigen Cover for iPhone 12 Pro / 12 - Black,قاب گوشی اپل iPhone 12 Pro / 12 اسپیگن با توری اسپیکر فلزی - مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15964,Spigen Cover for iPhone 12 Pro / 12 - Clear Black,قاب گوشی اپل iPhone 12 Pro / 12 اسپیگن با توری اسپیکر فلزی - شفاف مشکی,متفرقه,327,قاب پشت گوشی,113
gsp-15960,Spigen Cover for iPhone 13 Pro Max - Purple,قاب گوشی اپل iPhone 13 Pro Max اسپیگن با توری اسپیکر فلزی - بنفش,متفرقه,327,قاب پشت گوشی,113
gsp-15961,Spigen Case For iPhone 13 / 14,قاب گوشی اپل iPhone 13 / 14 اسپیگن با توری اسپیکر فلزی,متفرقه,327,قاب پشت گوشی,113
gsp-16015,Apple Watch 42/44/45/49 mm band,بند اپل واچ 42/44/45/49 میلی متری - طرح lee کد 3,متفرقه,327,بند اپل واچ,214
gsp-16017,Apple Watch 42/44/45/49 mm band,بند اپل واچ 42/44/45/49 میلی متری - طرح lee کد 1,متفرقه,327,بند اپل واچ,214
gsp-16018,Apple Watch 38/40/41 mm band,بند اپل واچ 38/40/41 میلی متری - طرح lee کد 9,متفرقه,327,بند اپل واچ,214
gsp-15994,Apple Watch 42/44/45/49 mm band,بند اپل واچ 42/44/45/49 میلی متری - طرح lee کد 5,متفرقه,327,بند اپل واچ,214
gsp-15891,Spigen Cover for iPhone 13 Pro Max - Gray,قاب گوشی اپل iPhone 13 Pro Max اسپیگن با توری اسپیکر فلزی - طوسی,متفرقه,327,قاب پشت گوشی,113
gsp-15890,Spigen Cover for iPhone 15,قاب گوشی اپل iPhone 15 مدل اسپیگن با توری اسپیکر فلزی,متفرقه,327,قاب پشت گوشی,113
gsp-15888,Spigen Cover for iPhone 15 Pro Max - Black,قاب گوشی اپل iPhone 15 Pro Max اسپیگن با توری اسپیکر فلزی - مشکی,متفرقه,327,قاب پشت گوشی,113
